Update:,2015-02-21 00:07:41 +0900
緑Lv,黄Lv,赤Lv,楽曲名,BSC,BR,ADV,AR,EXT,ER
1,5,7,RPG,0,N,0,N,0,N
4,7,9,R.P.G.～Rockin' Playing Game,0,N,0,N,868573,A
3,6,8,愛,0,N,0,N,0,N
5,7,9,I/O,0,N,0,N,982926,SSS
4,6,8,Icicles,0,N,0,N,0,N
3,7,9,eyes,0,N,0,N,0,N
2,5,8,愛する覚悟,0,N,0,N,0,N
4,6,8,愛と勇気の三度笠ポン太,0,N,0,N,0,N
3,8,10,アイネクライネ,0,N,0,N,952146,SS
3,4,7,あいのうた,0,N,0,N,0,N
6,9,10,愛は不死鳥の様に,0,N,0,N,883903,A
4,8,10,I'm so Happy,0,N,949980,S,947964,S
4,5,8,I love マミー,0,N,0,N,0,N
6,7,9,Across the nightmare,0,N,0,N,0,N
5,7,9,Asterism,0,N,0,N,0,N
6,9,10,アストライアの双皿,0,N,935161,S,905391,S
5,8,9,athletic meet of sound toy,0,N,0,N,0,N
4,7,9,attack in the minor key,0,N,0,N,941109,S
5,8,10,anemone,0,N,0,N,962407,SS
2,6,8,a burning bullet,0,N,0,N,0,N
3,6,7,a fact of life,0,N,0,N,994428,SSS
3,7,9,Ahead Of The Light,0,N,0,N,0,N
3,6,9,天ノ弱,0,N,0,N,995599,SSS
4,8,9,Amalgamation,0,N,0,N,982298,SSS
4,7,9,雨ノチHello,0,N,0,N,0,N
3,7,9,Arousing,0,N,0,N,935520,S
5,8,10,新たな幕開け,0,N,0,N,936684,S
5,7,9,アルストロメリア,0,N,0,N,935091,S
5,7,10,ALBIDA,0,N,0,N,908891,S
5,8,10,Our Faith,0,N,0,N,907702,S
2,5,8,いーあるふぁんくらぶ,985561,SSS,989065,SSS,986654,SSS
7,10,10,yellow head joe,0,N,946763,S,881327,A
5,9,10,Ignis Danse,0,N,0,N,921408,S
3,6,9,イ号零型,0,N,0,N,929780,S
3,6,9,いっぽんでもニンジン,0,N,0,N,961427,SS
5,8,10,Idola,0,N,0,N,967906,SS
4,7,9,イブの時代っ！,0,N,0,N,980106,SSS
6,7,9,IN THE NAME OF LOVE,0,N,0,N,965629,SS
4,7,9,In Scottish Highlands,0,N,0,N,707579,C
2,7,8,INVISIBLE WORLD,0,N,0,N,0,N
2,5,8,Infinity,0,N,0,N,931681,S
2,8,9,INFORMER,0,N,0,N,0,N
3,6,8,インベーダーインベーダー,0,N,0,N,0,N
7,9,10,Vermilion,0,N,967140,SS,928358,S
5,7,9,Vanity,0,N,0,N,867232,A
4,8,10,VALLIS-NERIA,0,N,0,N,963545,SS
5,8,10,We're so Happy,0,N,0,N,916294,S
3,5,7,We are チャリンコエンジェルス,0,N,0,N,0,N
3,7,9,ウィリアム・テル序曲,0,N,0,N,913746,S
4,7,9,Windy Fairy,0,N,0,N,974985,SS
1,6,9,WAVES; Q;indivi+WISE,0,N,0,N,853381,A
5,9,10,VERTeX,0,N,0,N,937605,S
3,7,9,Wow Wow VENUS,0,N,0,N,915094,S
5,9,10,Water Horizon,0,N,971832,SS,958691,SS
4,8,10,嘘憑きとサルヴァドール,0,N,0,N,959702,SS
3,7,9,歌の翼,0,N,0,N,0,N
3,7,9,梅雪夜,0,N,0,N,961567,SS
4,7,9,うらもからだも落花微塵,0,N,0,N,774816,C
5,9,10,AIR RAID FROM THA UNDAGROUND,0,N,752876,C,838055,B
4,7,9,8 -eight-,0,N,0,N,919550,S
5,8,9,800nm,0,N,0,N,912802,S
4,6,9,A to Z,0,N,0,N,0,N
4,7,9,EXORCISM,0,N,0,N,939703,S
3,5,8,ECO FIGHTER,0,N,0,N,0,N
3,7,9,SOS,0,N,0,N,641683,D
4,5,8,ESCAPE,0,N,0,N,0,N
1,6,8,ETERNAL BLAZE,0,N,0,N,0,N
3,6,8,eternal reality,0,N,0,N,0,N
3,6,9,Energy,0,N,0,N,0,N
6,8,10,Evans,0,N,938961,S,889875,A
2,6,8,Everybody Say EDOGAWA,0,N,0,N,0,N
6,8,10,AREA 51,0,N,0,N,928586,S
5,7,9,electro peaceful,0,N,0,N,0,N
5,9,10,Elemental Creation,0,N,0,N,860029,A
5,8,10,encounter,0,N,0,N,955097,SS
4,8,10,Engraved Mark,0,N,0,N,961568,SS
2,5,8,Endless Chain～2人でトリガーをひこう～,0,N,0,N,0,N
5,8,10,Empathetic,0,N,0,N,911711,S
3,7,9,O JIYA,0,N,0,N,918570,S
4,9,10,OVERHEAT -Type J-,0,N,0,N,853253,A
4,6,9,aura,0,N,0,N,937220,S
4,8,9,ALL MY HEART -この恋に、わたしの全てを賭ける-,0,N,0,N,973825,SS
4,7,10,お米の美味しい炊き方、そしてお米を食べることによるその効果。,0,N,0,N,904612,S
6,9,10,御千手メディテーション,0,N,0,N,865860,A
3,7,8,乙女の真骨頂,0,N,0,N,0,N
4,7,9,乙女繚乱 舞い咲き誇れ,0,N,0,N,959247,SS
4,7,9,朧,0,N,0,N,983125,SSS
2,5,8,オムライス,0,N,0,N,0,N
3,7,9,オリオンをなぞる,0,N,0,N,782599,C
3,6,8,オレンジ,0,N,0,N,0,N
3,7,8,On and On,0,N,0,N,0,N
3,6,8,温故知新でいこっ！,0,N,0,N,970633,SS
3,6,8,only my railgun,0,N,0,N,913064,S
1,6,8,Garden of Love,0,N,0,N,0,N
2,6,7,CARTOON HEROES,0,N,805109,B,0,N
3,7,9,カーニバる？,0,N,0,N,879729,A
3,6,8,カーニバル,0,N,0,N,0,N
5,8,10,KHAMEN BREAK,0,N,0,N,952580,SS
4,9,10,GAIA,0,N,0,N,912668,S
4,6,8,陽炎,0,N,0,N,0,N
3,6,8,Cassis,0,N,0,N,970817,SS
0,0,0,過食性:アイドル症候群,0,N,0,N,0,N
2,6,7,風一揆,0,N,0,N,0,N
4,6,9,カタルシスの月,0,N,0,N,896332,A
6,8,10,[E],0,N,0,N,950937,SS
5,7,9,coming true,0,N,0,N,953877,SS
5,9,10,Garakuta Doll Play,0,N,0,N,922555,S
3,5,9,カラフルミニッツ,0,N,0,N,0,N
4,7,9,カラルの月,0,N,0,N,935815,S
2,6,9,川崎純情音頭,0,N,0,N,0,N
3,7,9,KUNG-FU MAMA,0,N,0,N,0,N
4,6,7,記憶の欠片,0,N,0,N,0,N
6,7,10,GIGA BREAK,0,N,0,N,960781,SS
3,7,9,Kiss & Ride,0,N,0,N,0,N
2,5,7,キセキ,0,N,0,N,0,N
5,9,10,きたさいたま2000,0,N,0,N,916804,S
6,8,10,ギタ・ドラ・jubeat大夏祭りのテーマ,0,N,0,N,928890,S
3,8,10,Kick It Out,0,N,0,N,964207,SS
4,6,8,鬼帝の剣,0,N,0,N,0,N
3,4,5,気分上々↑↑,0,N,0,N,0,N
4,7,10,Gimme a Big Beat,0,N,0,N,970674,SS
2,5,8,キミ記念日～生まれて来てくれてアリガトウ。～,0,N,0,N,0,N
3,6,8,君の元へ,0,N,0,N,0,N
2,6,8,きみはキョンシー RAM RIDER REMIX,0,N,0,N,0,N
2,6,8,君をのせて feat.sayurina,0,N,0,N,0,N
3,5,7,ギャグ,0,N,0,N,0,N
4,8,9,逆ナンされたのにドタキャン!!,0,N,0,N,0,N
3,6,8,キャッチーを科学する,0,N,0,N,0,N
3,6,7,CAT'S EYE,0,N,0,N,0,N
3,6,10,CAPTIVE,0,N,0,N,912018,S
4,9,10,caramel ribbon,0,N,0,N,970231,SS
3,6,9,candii,0,N,0,N,917626,S
3,6,8,きょうもハレバレ,0,N,0,N,0,N
3,6,9,キラーボール,0,N,0,N,0,N
3,5,8,キライじゃないのぉ,0,N,0,N,0,N
7,8,9,キラキラ☆ステーション,0,N,0,N,902067,S
5,7,9,キルト,0,N,0,N,738153,C
3,7,9,銀河,0,N,0,N,855785,A
5,8,9,quaver♪,0,N,0,N,984414,SSS
4,7,8,Queen's Paradise,0,N,0,N,0,N
2,5,8,GOOD LUCKY!!!!!,0,N,0,N,0,N
4,8,9,Good-bye Chalon,0,N,0,N,966412,SS
3,8,9,Clumsy thoughts,0,N,0,N,976800,SS
4,8,9,Green Green Dance,0,N,0,N,977699,SS
2,6,7,CRAZY FOR YOU,0,N,0,N,0,N
5,8,10,Cleopatrysm,0,N,0,N,937000,S
2,5,8,紅空,0,N,873665,A,0,N
3,6,9,紅蓮の焔,0,N,0,N,953049,SS
3,6,8,グローランプ,0,N,0,N,0,N
3,6,9,黒髪乱れし修羅となりて,0,N,0,N,960970,SS
3,6,8,cloche,0,N,0,N,941913,S
3,7,9,Crosswind,0,N,0,N,943701,S
4,9,10,Chronos,0,N,984253,SSS,961695,SS
4,8,9,Get Off of My Way,0,N,0,N,0,N
5,8,10,ケッペキショウ,1000000,EXC,985688,SSS,918845,S
3,8,9,元気でやってるのかい?,0,N,0,N,778607,C
5,7,9,幻想系世界修復少女,0,N,0,N,992313,SSS
5,8,10,恋する☆宇宙戦争っ!!,0,N,0,N,969534,SS
4,7,8,恋とキングコング,0,N,0,N,982261,SSS
3,6,8,コイノチカラ,0,N,0,N,0,N
5,7,8,恋のメリーゴーランド,0,N,0,N,955246,SS
4,8,9,恋はどう？モロ◎波動OK☆方程式！！,0,N,0,N,916403,S
5,8,10,紅焔,0,N,0,N,952941,SS
3,6,8,GO,0,N,0,N,0,N
1,5,7,Go to the top,0,N,0,N,0,N
4,8,10,Go For The Top,0,N,0,N,950423,SS
4,7,8,Calling,0,N,0,N,0,N
3,7,10,GOLD,0,N,0,N,890648,A
3,6,8,虚空と光明のディスクール,0,N,0,N,0,N
5,8,10,Cosmic Hurricane,0,N,0,N,963192,SS
5,9,10,Gott,0,N,0,N,939236,S
5,8,10,Got more raves？,0,N,0,N,900205,S
3,6,8,こどなの階段,0,N,0,N,0,N
4,6,8,コネクト,0,N,0,N,934947,S
5,8,9,この青空の下で,0,N,0,N,952014,SS
5,8,9,この子の七つのお祝いに,0,N,0,N,893233,A
2,5,7,ごめんなさいのKissing You,0,N,0,N,0,N
6,9,10,concon,0,N,808763,B,902176,S
4,8,10,Concertino in Blue,0,N,0,N,875226,A
3,6,9,Condor,0,N,0,N,893298,A
7,10,10,Confiserie,0,N,936735,S,910824,S
3,5,8,最終回STORY,0,N,0,N,0,N
5,8,10,The Wind of Gold,0,N,0,N,930674,S
3,6,8,防人恋歌,0,N,0,N,997432,SSS
5,8,9,Sakura Sunrise,0,N,0,N,939109,S
2,7,8,大藝術家 -The Great Artist-,0,N,0,N,0,N
3,7,8,ザッツ!KAIYODO,0,N,0,N,0,N
3,5,8,サブリナ,0,N,0,N,0,N
4,7,8,Summer Holiday,0,N,0,N,962289,SS
3,7,9,さよならトリップ,0,N,0,N,971237,SS
3,6,9,サヨナラ・ヘヴン,0,N,0,N,981344,SSS
2,4,7,サンキュー。,0,N,0,N,0,N
2,6,8,Sandstorm,0,N,0,N,939145,S
3,6,9,幸せのかたち,0,N,0,N,899411,A
7,8,9,SEED,0,N,0,N,924117,S
3,6,7,Share The World,0,N,0,N,0,N
5,6,9,Jailbreak,0,N,0,N,0,N
4,7,9,SHION,0,N,0,N,919256,S
5,9,10,此岸の戯事,0,N,0,N,917647,S
6,8,9,SigSig,869755,A,0,N,959368,SS
3,7,9,sister's noise,0,N,0,N,981847,SSS
4,9,10,Synergy For Angels,0,N,0,N,979266,SS
5,8,10,Shining Wizard,0,N,0,N,919630,S
4,6,8,Shining Star,0,N,0,N,0,N
4,8,9,Shine On Me,0,N,0,N,990825,SSS
2,7,8,シャカビーチ～Laka Laka La～,0,N,0,N,659889,D
3,7,8,灼熱の翼,0,N,0,N,0,N
3,7,10,Just Awake,0,N,0,N,921151,S
3,6,9,ジャパンパン～日本全国地元化計画～,0,N,0,N,0,N
5,7,8,Jumping Boogie,0,N,0,N,0,N
5,8,10,終末を追う者,0,N,0,N,942265,S
4,8,9,十面相,998111,SSS,984071,SSS,975353,SS
2,5,7,瞬間 I LOVE YOU,0,N,0,N,0,N
1,6,8,じょいふる,0,N,0,N,0,N
2,5,8,Show up ! - short ver -,0,N,0,N,0,N
2,7,9,情熱大陸,0,N,0,N,880665,A
7,9,10,少年は空を辿る,0,N,0,N,919096,S
4,7,9,少年リップルズ,0,N,0,N,729726,C
7,9,10,JOMANDA,0,N,0,N,921223,S
6,7,9,SILVER☆DREAM,0,N,0,N,993717,SSS
4,7,9,白い雪のプリンセスは,0,N,0,N,0,N
3,5,9,think about you,0,N,0,N,984739,SSS
3,7,9,Synchrogazer,0,N,0,N,954236,SS
2,4,8,人生は素晴らしい物語。(Dear Japan Remix),0,N,0,N,0,N
2,5,7,シンデレラ,0,N,0,N,0,N
3,6,9,Switch On!,0,N,0,N,917547,S
4,6,9,SWEET ANGEL,0,N,0,N,736628,C
2,5,9,SWEET CUBE,0,N,0,N,929955,S
4,8,9,Sweet Rain,0,N,818262,B,936843,S
3,7,8,SUPER∞STREAM,0,N,0,N,0,N
4,7,8,Supernova,0,N,0,N,0,N
3,5,8,スーパーフレア,0,N,0,N,0,N
4,7,10,Scars of FAUNA,0,N,0,N,980443,SSS
3,7,9,Sky Is The Limit,0,N,0,N,0,N
4,8,10,Squeeze,0,N,0,N,881118,A
5,7,9,squall,0,N,0,N,979451,SS
4,6,8,Starlight Parade,0,N,0,N,0,N
5,8,10,STERLING SILVER,0,N,0,N,952413,SS
6,9,10,Stand Alone Beat Masta,0,N,0,N,834047,B
6,9,10,STELLAR WIND,0,N,0,N,917963,S
4,7,9,Stella Sinistra,0,N,0,N,0,N
3,8,10,STULTI,0,N,0,N,957757,SS
3,6,8,STREET DANCER,0,N,0,N,446074,E
3,7,9,ストレイ・マーチ,0,N,0,N,975874,SS
3,5,9,Straight Oath,0,N,0,N,0,N
5,7,8,Snow Goose,0,N,0,N,950491,SS
4,6,9,Snowfield Express,0,N,0,N,0,N
4,7,9,snow prism,0,N,0,N,980470,SSS
5,7,9,spring pony,0,N,0,N,920647,S
4,7,9,スペースカーニバル,0,N,0,N,883233,A
5,7,9,隅田川夏恋歌,0,N,0,N,900571,S
3,8,10,smooooch・∀・,0,N,0,N,950919,SS
4,7,9,Slang,0,N,0,N,728950,C
2,6,7,スリル,0,N,0,N,0,N
5,7,9,晴天Bon Voyage,0,N,0,N,917920,S
4,7,9,SAVIOR OF SONG（feat. MY FIRST STORY）,0,N,0,N,0,N
5,8,9,Theory of Eternity,0,N,0,N,967797,SS
4,7,9,Second Heaven,0,N,0,N,994403,SSS
4,8,10,ZED,0,N,0,N,961783,SS
5,8,10,ZZ,0,N,0,N,927039,S
3,7,9,切ないほど,0,N,0,N,0,N
3,7,9,セツナトリップ,0,N,0,N,964171,SS
2,7,9,「善悪の彼岸」,0,N,0,N,0,N
2,6,8,閃光のPRISONER,0,N,0,N,0,N
3,7,9,創世ノート,0,N,0,N,971953,SS
3,6,9,蒼天,0,N,0,N,982420,SSS
6,9,10,Sol Cosine Job 2,0,N,0,N,798621,C
3,7,9,sola,0,N,0,N,0,N
3,6,8,空色デイズ,0,N,0,N,0,N
2,6,9,dye it white,0,N,0,N,951067,SS
